"tract","Name","Fraction_Non-White_in_2010"
24510280101,"Reisterstown Station, Baltimore, MD",0.9578
24510140300,"Druid Heights, Baltimore, MD",0.9576
24510271700,"Central Park Heights, Baltimore, MD",0.9545
24510280404,"Irvington, Baltimore, MD",0.9506
24005402403,"Gwynn Oak, Baltimore, MD",0.9466
24510180200,"Poppleton, Baltimore, MD",0.9437
24510260402,"Frankford, Baltimore, MD",0.9434
24510270902,"Perring Loch, Baltimore, MD",0.943
24510170200,"McCulloh Homes, Baltimore, MD",0.9405
24510130100,"Reservoir Hill, Baltimore, MD",0.9372
24510260301,"Belair - Edison, Baltimore, MD",0.9315
24510280500,"Pleasant View Gardens, Baltimore, MD",0.931
24510260203,"Frankford, Baltimore, MD",0.9307
24510260302,"Belair - Edison, Baltimore, MD",0.9294
24510250102,"Yale Heights, Baltimore, MD",0.9227
24005403202,"Gwynn Oak, Baltimore, MD",0.9224
24510270803,"Loch Raven, Baltimore, MD",0.922
24510270903,"Hillen, Baltimore, MD",0.9214
24510250101,"Beechfield, Baltimore, MD",0.9189
24510280301,"Gwynn Oak, Baltimore, MD",0.9183
24510250301,"Westport, Baltimore, MD",0.9181
24510260202,"Parkside, Baltimore, MD",0.9129
24005403201,"Gwynn Oak, Lochearn, MD",0.9086
24510090400,"Better Waverly, Baltimore, MD",0.9067
24510090100,"Ednor Gardens - Lakeside, Baltimore, MD",0.9045
24005491401,"Parkville, MD",0.9
24510090500,"Better Waverly, Baltimore, MD",0.8936
24510270805,"Mid-Govans, Baltimore, MD",0.8924
24510130200,"Reservoir Hill, Baltimore, MD",0.8919
24510200800,"Irvington, Baltimore, MD",0.8874
24510030100,"Perkins Homes, Baltimore, MD",0.8861
24510120400,"Barclay, Baltimore, MD",0.885
24510260201,"Frankford, Baltimore, MD",0.8829
24510270801,"Idlewood, Baltimore, MD",0.8808
24510260102,"Frankford, Baltimore, MD",0.863
24510280401,"Baltimore, MD",0.8623
24005401302,"Gwynn Oak, Baltimore, MD",0.8623
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",0.852
24510100300,"Penn - Fallsway, Baltimore, MD",0.8495
24005401102,"Gwynn Oak, Woodlawn, MD",0.8472
24510130805,"Cold Springs, Baltimore, MD",0.8406
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",0.808
24510170100,"Downtown, Baltimore, MD",0.8071
24005401301,"Woodlawn, MD",0.8003
24005441000,"Baltimore, MD",0.7963
24510271900,"Glen, Baltimore, MD",0.7951
24005401101,"Woodlawn, MD",0.793
24005421300,"Dundalk, MD",0.792
24510060400,"Baltimore, MD",0.7895
24510250205,"Lakeland, Baltimore, MD",0.782
24005401200,"Woodlawn, MD",0.7795
24510060100,"Patterson Park, Baltimore, MD",0.7744
24510080101,"Belair - Edison, Baltimore, MD",0.766
24510270102,"Waltherson, Baltimore, MD",0.7581
24510200300,"Bentalou-Smallwood, Baltimore, MD",0.7516
24510260604,"O'Donnell Heights, Baltimore, MD",0.7515
24510280403,"Westgate, Baltimore, MD",0.7491
24510120500,"Greenmount West, Baltimore, MD",0.7413
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.7407
24510200600,"Baltimore, MD",0.7398
24510260404,"Baltimore Highlands, Baltimore, MD",0.7325
24510260303,"Claremont - Freedom, Baltimore, MD",0.7301
24510261000,"Patterson Park, Baltimore, MD",0.7252
24510270401,"Glenham-Belford, Baltimore, MD",0.7223
24510060200,"Baltimore, MD",0.7191
24510190300,"Mount Clare, Baltimore, MD",0.7142
24510190200,"Pratt Monroe, Baltimore, MD",0.7073
24510180300,"Hollins Market, Baltimore, MD",0.6993
24510120600,"Old Goucher, Baltimore, MD",0.6846
24005491402,"Parkville, MD",0.6756
24510120300,"Harwood, Baltimore, MD",0.6726
24510260101,"Cedmont, Baltimore, MD",0.6721
24510270301,"Lauraville, Baltimore, MD",0.6719
24510272007,"Fallstaff, Baltimore, MD",0.6627
24510060300,"Butchers Hill, Baltimore, MD",0.655
24510200500,"Mill Hill, Baltimore, MD",0.6483
24005440701,"Rosedale, MD",0.6446
24510250402,"Brooklyn, Baltimore, MD",0.6288
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.6241
24510210100,"Pigtown, Baltimore, MD",0.616
24510210200,"Pigtown, Baltimore, MD",0.6054
24510260800,"Baltimore Highlands, Baltimore, MD",0.6022
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.5937
24510270302,"Waltherson, Baltimore, MD",0.5856
24005440900,"Rosedale, MD",0.5755
24510020200,"Upper Fells Point, Baltimore, MD",0.5683
24510270101,"Arcadia, Baltimore, MD",0.5665
24510270402,"Glenham-Belford, Baltimore, MD",0.5649
24510270502,"North Harford Road, Baltimore, MD",0.5618
24510040200,"Downtown, Baltimore, MD",0.5573
24510270804,"Lake Walker, Baltimore, MD",0.5489
24005403300,"Lochearn, Pikesville, MD",0.5465
24510040100,"Downtown, Baltimore, MD",0.5397
24005403402,"Pikesville, MD",0.5396
24005440800,"Rosedale, MD",0.5256
24005430900,"Baltimore, MD",0.5185
24003750803,"Glen Burnie, MD",0.5138
24005491300,"Baltimore, MD",0.5104
24003740103,"Hanover, MD",0.5078
24510272006,"Glen, Baltimore, MD",0.5056
24005492500,"Baltimore, MD",0.4946
24510030200,"Little Italy, Baltimore, MD",0.4906
24510270200,"Lauraville, Baltimore, MD",0.4843
24510250500,"Curtis Bay, Baltimore, MD",0.4815
24510260700,"Fifteenth Street, Baltimore, MD",0.4805
24003730204,"Glen Burnie, MD",0.4706
24003730203,"Glen Burnie, MD",0.4588
24510140100,"Bolton Hill, Baltimore, MD",0.4558
24510271101,"Radnor - Winston, Baltimore, MD",0.4453
24510120202,"Baltimore, MD",0.4441
24510250401,"Brooklyn, Baltimore, MD",0.4436
24003740201,"South Gate, Glen Burnie, MD",0.4424
24005440300,"Nottingham, MD",0.435
24510260605,"Medford - Broening, Baltimore, MD",0.4342
24510110200,"Downtown, Baltimore, MD",0.433
24003740102,"Hanover, MD",0.4316
24510120700,"Remington, Baltimore, MD",0.4313
24510270703,"North Harford Road, Baltimore, MD",0.4286
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.425
24003751102,"Glen Burnie, MD",0.4226
24510110100,"Downtown, Baltimore, MD",0.4164
24005400701,"Catonsville, MD",0.4123
24005400702,"Baltimore, MD",0.4017
24510230100,"Baltimore, MD",0.3978
24027601204,"Elkridge, MD",0.3917
24510260501,"Joseph Lee, Baltimore, MD",0.3836
24005403401,"Pikesville, MD",0.3834
24005441102,"Rosedale, MD",0.3834
24510270501,"Woodring, Baltimore, MD",0.3787
24003750201,"Brooklyn, Baltimore, MD",0.3667
24005491500,"Parkville, MD",0.3665
24005491701,"Parkville, MD",0.3658
24005440702,"Rosedale, MD",0.3519
24510130806,"Woodberry, Baltimore, MD",0.3361
24510272003,"Baltimore, MD",0.3347
24027601201,"Elkridge, MD",0.3252
24005491600,"Parkville, MD",0.3241
24510120201,"Baltimore, MD",0.3227
24005403602,"Baltimore, MD",0.3193
24003750101,"Brooklyn Park, MD",0.319
24003751400,"Severn, MD",0.3181
24005491100,"Baltimore, MD",0.316
24005440600,"Rosedale, MD",0.3154
24005490900,"Towson, MD",0.3109
24510120100,"Tuscany - Canterbury, Baltimore, MD",0.3088
24510260401,"Armistead Gardens, Baltimore, MD",0.3077
24510010200,"Patterson Park, Baltimore, MD",0.3071
24005411307,"Nottingham, MD",0.3028
24005440400,"Baltimore, MD",0.302
24003750102,"Baltimore, MD",0.2996
24510250103,"Violetville, Baltimore, MD",0.2963
24003730401,"Glen Burnie, MD",0.2953
24005411408,"Nottingham, MD",0.2948
24005452300,"Baltimore, MD",0.2922
24027601104,"Ellicott City, MD",0.2894
24005492001,"Parkville, MD",0.2876
24510250303,"Morrell Park, Baltimore, MD",0.2788
24003750804,"Glen Burnie, MD",0.2776
24510020100,"Upper Fells Point, Baltimore, MD",0.2776
24005411306,"Nottingham, MD",0.2774
24005400600,"Catonsville, MD",0.2685
24005411410,"Parkville, MD",0.2659
24510130803,"Medfield, Baltimore, MD",0.2653
24005400200,"Catonsville, MD",0.2642
24510220100,"Baltimore, MD",0.2606
24005421000,"Dundalk, MD",0.2593
24005441101,"Rosedale, MD",0.2581
24005411407,"Parkville, MD",0.2575
24005421101,"Baltimore, MD",0.254
24005420401,"Dundalk, MD",0.2527
24005440200,"Nottingham, MD",0.2522
24005492002,"Parkville, MD",0.2502
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.2479
24005490605,"Towson, MD",0.246
24003750203,"Baltimore, MD",0.2413
24510271400,"Evergreen, Baltimore, MD",0.2402
24005492200,"Parkville, MD",0.2392
24510272004,"Cheswolde, Baltimore, MD",0.2368
24510250206,"Morrell Park, Baltimore, MD",0.2367
24510272005,"Cross Country, Baltimore, MD",0.2292
24005420701,"Dundalk, MD",0.2281
24510250600,"Brooklyn, Baltimore, MD",0.2273
24005400100,"Catonsville, MD",0.2245
24510271300,"Roland Park, Baltimore, MD",0.2221
24005492300,"Essex, MD",0.2185
24005490302,"Towson, MD",0.2159
24510010500,"Upper Fells Point, Baltimore, MD",0.2152
24005420900,"Dundalk, MD",0.2131
24005491202,"Towson, MD",0.2102
24003751000,"Glen Burnie, MD",0.2096
24005492102,"Parkville, MD",0.2093
24005492101,"Parkville, MD",0.209
24003730300,"Glen Burnie, MD",0.2004
24005420500,"Baltimore, MD",0.1992
24005420301,"Dundalk, MD",0.1987
24510260900,"Baltimore, MD",0.1976
24510271501,"Mount Washington, Baltimore, MD",0.1972
24005411303,"Nottingham, MD",0.1937
24510020300,"Fells Point, Baltimore, MD",0.1932
24005491201,"Towson, MD",0.1903
24005420600,"Baltimore, MD",0.1889
24003750900,"Glen Burnie, MD",0.1882
24510271200,"Homeland, Baltimore, MD",0.1865
24003750300,"Linthicum Heights, MD",0.1857
24510271102,"Mid-Charles, Baltimore, MD",0.1834
24003750202,"Brooklyn Park, MD",0.1824
24510130700,"Hampden, Baltimore, MD",0.182
24005403500,"Pikesville, MD",0.1803
24005411404,"Parkville, MD",0.1802
24005430400,"Halethorpe, MD",0.1765
24005411308,"Nottingham, MD",0.1737
24510271503,"Cross Keys, Baltimore, MD",0.1671
24003980000,"Linthicum Heights, MD",0.1667
24510261100,"Canton, Baltimore, MD",0.1635
24003751103,"Glen Burnie, MD",0.1625
24510010400,"Canton, Baltimore, MD",0.1624
24005420302,"Dundalk, MD",0.1619
24003730100,"Chestnut Hill Cove, Riviera Beach, MD",0.1586
24005490602,"Baltimore, MD",0.1576
24005421102,"Dundalk, MD",0.1572
24510130804,"Hampden, Baltimore, MD",0.1555
24005420800,"Dundalk, MD",0.1546
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.153
24005490703,"Towson, MD",0.1506
24005450100,"Rosedale, MD",0.1497
24510010300,"Canton, Baltimore, MD",0.1486
24005490800,"Towson, MD",0.1483
24005400400,"Catonsville, MD",0.1483
24005491900,"Parkville, MD",0.1458
24005403601,"Baltimore, MD",0.1457
24005430800,"Halethorpe, MD",0.1433
24003750801,"Glen Burnie, MD",0.1433
24510230300,"South Baltimore, Baltimore, MD",0.1426
24005421200,"Dundalk, MD",0.1327
24510240200,"Riverside, Baltimore, MD",0.1295
24005430700,"Halethorpe, MD",0.1294
24005452400,"Dundalk, MD",0.1291
24003731310,"Green Haven, Pasadena, MD",0.1286
24005490603,"Baltimore, MD",0.1278
24005451200,"Middle River, MD",0.1272
24005450300,"Essex, MD",0.1271
24005420702,"Dundalk, MD",0.1255
24005440500,"Nottingham, MD",0.1248
24005450400,"Essex, MD",0.1233
24510130600,"Hampden, Baltimore, MD",0.123
24005411406,"Nottingham, MD",0.1184
24510230200,"South Baltimore, Baltimore, MD",0.1183
24003731309,"Riviera Beach, MD",0.1164
24003750400,"Linthicum Heights, MD",0.1137
24510010100,"Canton, Baltimore, MD",0.1122
24005490601,"Baltimore, MD",0.1104
24005440100,"Baltimore, MD",0.109
24005452500,"Dundalk, MD",0.1061
24510240300,"Riverside, Baltimore, MD",0.1023
24003751200,"Linthicum Heights, MD",0.1007
24005420402,"Dundalk, MD",0.1002
24510240400,"Riverside Park, Baltimore, MD",0.0968
24005430600,"Relay, Halethorpe, MD",0.0954
24005450200,"Essex, MD",0.0895
24005491000,"Baltimore, MD",0.0848
24005403802,"Pikesville, MD",0.0828
24005420200,"Dundalk, MD",0.0798
24510240100,"Locust Point, Baltimore, MD",0.0778
24005490400,"Towson, MD",0.0773
24005403803,"Pikesville, MD",0.0754
24005490500,"Towson, MD",0.0722
24005420100,"Dundalk, MD",0.0718
24003731306,"Pasadena, MD",0.059
24003731308,"Pasadena, MD",0.0564
24005490701,"Towson, MD",0.0514
24005420303,"Dundalk, MD",0.051
24005980200,"Lansdowne - Baltimore Highlands, Halethorpe, MD",
